episode,avg_speed,avg_accel,avg_gap,avg_risk,avg_lane_change,episode_reward
14500,22.427939471,-0.7523004975099999,0.0,0.34402490995,3.7,76.7440506644
14600,22.1983397536,-0.75124717455,0.0,0.44939172813,3.24,81.75330674679999
14700,22.216951714800004,-0.76520739672,0.0,0.36529040783,3.59,80.5846256759
14800,22.9551256981,-0.8751322595300001,0.0,0.12255892081000001,2.85,62.4992200319
14900,22.806318454699998,-0.82009354206,0.0,0.24382730289000001,1.73,68.0722162257
15000,22.6515409343,-0.77871151189,0.0,0.23539611421,0.97,72.0893142296
15100,22.5802982811,-0.74751696315,0.0,0.29458498334,1.95,74.7244823848
15200,22.7349754566,-0.83159397219,0.0,0.2876365111,1.96,68.0687965375
15300,22.7073730359,-0.7953422568099999,0.0,0.26320910113,0.53,70.37859080049999
15400,22.859134978400004,-0.75871002307,0.0,0.13670295855,0.81,71.1255596822
15500,22.9172449267,-0.78373847885,0.0,0.19498641229,0.38,68.0098487302
15600,22.792311202,-0.78296345143,0.0,0.25623304292,0.46,70.0626306269
15700,22.919272571500002,-0.81698323859,0.0,0.18400387671000001,0.6,66.7810350748
15800,22.9060326399,-0.81667002224,0.0,0.13468145161,1.33,67.0863473083
15900,22.814321202800002,-0.8175111444300001,0.0,0.23367473092000002,1.15,68.094979897
16000,22.7709424993,-0.7591094036299999,0.0,0.18346727083,1.97,71.9791321228
16100,22.853140928,-0.7855617475,0.0,0.21137973609,1.14,69.5667874379
16200,22.748769731699998,-0.76054040921,0.0,0.27370805113,1.36,71.5402791171
16300,22.8185940588,-0.8072033645400001,0.0,0.22665098022,1.1,68.3440957734
16400,22.4973016128,-0.73452724984,0.0,0.34322701308,1.2,76.920739267
16500,22.6882626603,-0.78955657624,0.0,0.2752312921,1.47,71.7239431708
16600,22.7855802621,-0.75364280958,0.0,0.20716628189999997,0.91,72.0384470101
16700,22.891452853300002,-0.78598679515,0.0,0.07842813103,0.89,68.528317324
16800,22.798866378299998,-0.7797552007999999,0.0,0.23170584956999998,0.96,69.6051852393
16900,22.393367234400003,-0.7012511100800001,0.0,0.35187584587000004,1.16,79.6087401474
17000,22.8676657038,-0.8000505771699999,0.0,0.20296497257999999,1.08,68.5068179644
17100,22.8472246969,-0.7878701617599999,0.0,0.13918753533,0.59,69.9861024972
17200,22.9344108767,-0.8155120393299999,0.0,0.14528913333000001,0.99,66.97090613270001
17300,22.7505593018,-0.8188278828500001,0.0,0.27200766079,0.86,68.6690339308
17400,22.8849624695,-0.83358155303,0.0,0.18679270917000002,0.9,66.5773753206
17500,22.850774519199998,-0.80510317891,0.0,0.19181020115,1.3,67.7896383256
17600,22.9399359914,-0.7919389583800001,0.0,0.033139049479999995,0.97,68.4990346001
17700,22.0805943033,-0.6707360450000001,0.0,0.48913385536,0.24,84.700266437
17800,22.7818792721,-0.82108877737,0.0,0.26569333541,1.36,67.44193947449999
17900,23.120398525800002,-0.84908636142,0.0,0.024633688770000002,1.36,63.3257087831
18000,22.883655047900003,-0.82093128693,0.0,0.21734310763,0.45,67.0023665052
18100,22.9828820815,-0.81442858599,0.0,0.08391034341999999,1.32,66.1467421914
18200,22.8302331901,-0.80808952441,0.0,0.18565522605999998,1.41,68.2735190215
18300,22.9548246435,-0.81977517683,0.0,0.12282617735000001,1.19,66.9577257513
18400,22.9021153542,-0.79713616258,0.0,0.19530756303,0.58,68.1029745827
18500,22.9949338331,-0.82810956625,0.0,0.03734093051,1.82,65.6088876588
18600,22.9636773843,-0.81777260301,0.0,0.04005164881,0.66,66.5995717805
18700,22.9632022585,-0.8022202380500001,0.0,0.06900934679,1.21,67.5675121644
18800,22.7061869002,-0.75896563492,0.0,0.22520594467,0.72,72.7201679673
18900,22.660342926200002,-0.73543757,0.0,0.32775676945,0.19,73.2591021205
19000,22.966892077,-0.79724735329,0.0,0.14131884497,0.84,67.50209128
19100,22.899144769600003,-0.7999783304100001,0.0,0.00631431461,0.16,69.3688166531
19200,23.0190902359,-0.8082043097099999,0.0,0.0034271082499999998,0.07,66.60641848979999
19300,22.9062070301,-0.7709077450799999,0.0,0.01999324107,0.41,69.7836880855
19400,23.0399779721,-0.79563142486,0.0,0.0011776199499999999,0.48,67.1540466201
19500,23.1490989398,-0.8608670445200001,0.0,0.0,0.5,62.1984673013
19600,22.9208911444,-0.77304578721,0.0,0.0,0.66,69.6309050586
19700,22.9906911014,-0.83031298848,0.0,0.01978598736,0.76,65.9748361055
19800,22.918789639299998,-0.7974912867099999,0.0,0.09824371294,0.61,68.41728290729999
19900,22.8701026569,-0.77725301935,0.0,0.0606789089,1.03,69.6231885236
20000,22.8522391981,-0.78530866852,0.0,0.02486232332,1.36,70.59114852789999
20100,22.901372215000002,-0.82254402711,0.0,0.03069078687,1.32,67.10322701449999
20200,23.00886157,-0.80775856228,0.0,0.00187312193,0.26,66.6880247175
20300,22.9639724625,-0.81019521277,0.0,0.0251005153,0.94,68.39358904859999
20400,22.8765201105,-0.7937506059899999,0.0,0.00124870023,1.01,70.0742284278
20500,22.9958591243,-0.8246719735400001,0.0,0.00345503486,1.76,65.2394970485
20600,22.941843553200002,-0.787273627,0.0,0.01384648852,0.42,69.5225314625
20700,22.2350622518,-0.75073976087,0.0,0.15715144744,2.85,81.160313612
20800,22.925944039,-0.7853017418,0.0,0.024725383939999998,2.63,68.2560540862
20900,22.9839887518,-0.8116993284199999,0.0,0.01270929441,0.85,68.08018507210001
21000,23.0125864761,-0.80156349065,0.0,0.0016815707699999998,0.68,67.8009289511
21100,22.9709369771,-0.77462340772,0.0,0.00203047745,0.81,69.0523947728
21200,22.971004355700003,-0.8019356328499999,0.0,0.00435039302,0.64,68.8541961521
21300,23.0007966993,-0.79606070588,0.0,0.00467550621,0.6,67.4081784695
21400,22.9727982633,-0.8217387523499999,0.0,0.00032503689000000003,0.36,66.6951634259
21500,23.0645385003,-0.8129132179699999,0.0,0.00037488103,0.84,65.979760531
21600,22.926531851,-0.78111509048,0.0,0.0,1.96,71.1042612655
21700,23.018482377599998,-0.82990790921,0.0,0.0,1.64,65.18258786930001
21800,23.0615795358,-0.80547926917,0.0,0.0,0.49,66.2438624152
21900,23.118826040200002,-0.87115117967,0.0,0.0,0.92,61.963311463
22000,23.110627118100002,-0.8759469561900001,0.0,0.00388043984,1.09,61.8914377844
22100,23.082303307000004,-0.8596947952099999,0.0,0.00036697248,0.73,63.195347057999996
22200,23.097411612699997,-0.84163283529,0.0,0.0,0.62,63.4843178395
22300,23.0686321368,-0.82896872405,0.0,0.0,1.26,64.734855165
22400,23.0162715492,-0.82292740239,0.0,0.0,1.01,66.2830837699
22500,23.0096245159,-0.84454090864,0.0,9.174312e-05,1.66,64.9386986784
22600,23.025878163799998,-0.83341555688,0.0,0.0,1.13,65.2358750615
22700,23.0468160697,-0.8975743518199999,0.0,0.0,2.1,62.144853299999994
22800,23.0498304427,-0.86168006169,0.0,0.0,1.42,63.8786888016
22900,23.041736690500002,-0.8411256646699999,0.0,0.0,0.97,64.5661762939
23000,23.0537480336,-0.82161596015,0.0,0.0,0.96,66.1180072329
23100,23.054360672100003,-0.84703734079,0.0,0.0,1.87,63.3437361287
23200,23.0155414398,-0.88960780513,0.0,0.0,1.94,62.8811034251
23300,23.0264922567,-0.84264240946,0.0,0.0,2.01,66.49790033139999
23400,23.1254342405,-0.84168199113,0.0,0.0,1.28,62.9795127698
23500,23.06557792,-0.84153030551,0.0,0.0,1.27,63.5356898893
23600,23.0891386362,-0.8302973903,0.0,0.0,0.86,65.0660523034
23700,23.059646168999997,-0.84751498466,0.0,0.0,1.24,64.31395331530001
23800,23.026089768299997,-0.83750163931,0.0,0.0,1.22,65.05993575229999
23900,23.017753367199997,-0.83910182039,0.0,0.0,1.08,66.06359422370001
24000,23.0357116912,-0.85276181213,0.0,0.0,1.08,64.3545480363
24100,22.9520466438,-0.82286029829,0.0,0.0,1.96,68.24447453890001
24200,23.0387524709,-0.84053805969,0.0,0.0,2.49,65.8272646154
24300,23.0214614811,-0.8358698192599999,0.0,0.0,1.99,66.4862705466
24400,23.0587258682,-0.84821940079,0.0,0.0,1.87,64.3701584561
24500,23.082694720600003,-0.85098787171,0.0,0.0,2.26,63.136162489300006
24600,23.044827200199997,-0.88341288205,0.0,0.0,2.03,62.43116874059999
24700,23.1316223077,-0.86340795745,0.0,0.0,2.56,62.1300376803
24800,22.9882425542,-0.87424162218,0.0,0.0,2.34,65.51375636009999
24900,23.0039939999,-0.84435564528,0.0,0.0,2.19,65.05556218619999
25000,22.981430736799997,-0.82559275873,0.0,0.0,2.21,66.6527183387
25100,23.022555424900002,-0.84923596769,0.0,0.0,2.35,64.8692765218
25200,23.036526795200004,-0.8437075804699999,0.0,0.0,2.24,65.760295389
25300,23.036412276900002,-0.85717830105,0.0,0.0,1.98,64.4597619201
25400,23.0951237325,-0.86249564506,0.0,0.0,2.26,62.32461493619999
25500,23.0395820615,-0.8530121873400001,0.0,0.0,2.15,65.1861718431
25600,23.0946847196,-0.89080297823,0.0,0.0,2.32,61.9563392011
25700,23.0547667613,-0.84744458259,0.0,0.0,2.41,64.2172681231
25800,23.0974509709,-0.83517898612,0.0,0.0,2.2,64.8337565576
25900,22.917869124099997,-0.83503681068,0.0,0.0,2.77,68.222857921
26000,23.0119881526,-0.83433076728,0.0,0.0,2.28,66.22128490979999
26100,23.038556305,-0.84833290104,0.0,0.0,1.97,64.270332755
26200,23.0022183304,-0.83833812104,0.0,0.0,2.03,66.3388303702
26300,23.132911107800002,-0.88067977897,0.0,0.0,1.62,61.638283083699996
26400,23.0630037659,-0.8487651075799999,0.0,0.0,1.57,63.597999302299996
26500,23.0768545778,-0.9020485726799999,0.0,0.0,1.99,61.7072825139
26600,23.1031558056,-0.8243183898499999,0.0,0.0,2.11,64.018697652
26700,23.1084884353,-0.84999237561,0.0,0.0,2.14,63.8297789625
26800,23.1744417104,-0.8901348609,0.0,0.0,1.91,60.540481981599996
26900,23.1391038756,-0.90216435058,0.0,0.0,2.23,60.263596453299996
27000,23.034398617799997,-0.8708303289299999,0.0,0.0,2.17,64.8826053826
27100,23.0661208012,-0.8686612363599999,0.0,0.0,2.26,63.1193141125
27200,23.178302329100003,-0.87351676075,0.0,0.0,2.05,61.041171163099996
27300,23.0244252102,-0.8324563324800001,0.0,0.0,2.04,66.16248926760001
27400,23.0456765399,-0.8595699117,0.0,0.0,2.2,64.0014518976
27500,23.1138014964,-0.8327883822600001,0.0,0.0,1.83,63.1314062232
27600,23.0240087026,-0.83216767542,0.0,0.0,1.53,65.35845508070001
27700,23.058252991899998,-0.8128694948099999,0.0,0.0,1.86,66.0016764038
27800,23.09646273,-0.84130093908,0.0,0.0,1.89,64.02636000460001
27900,23.109700743100003,-0.8622552268,0.0,0.0,2.04,63.3568378147
28000,22.9662756674,-0.82550878521,0.0,0.0,2.45,67.9763399705
28100,23.1629687191,-0.89740049334,0.0,0.0,2.31,60.3366885551
28200,23.085964650999998,-0.85976297708,0.0,0.0,2.57,63.821831765
28300,23.091119237399997,-0.86353984336,0.0,0.0,2.49,61.9754096551
28400,23.133099928900002,-0.8781360506199999,0.0,0.0,2.35,61.3588879411
28500,22.924043567499996,-0.84462852415,0.0,0.0,2.34,67.2666745457
28600,23.134425588200003,-0.8702493693300001,0.0,0.0,2.14,61.72193799710001
28700,23.159845912700003,-0.84100077635,0.0,0.0,1.99,62.4885919278
28800,23.0667759333,-0.84478595259,0.0,0.0,0.98,65.2453815787
28900,22.9666013836,-0.79644051624,0.0,0.0,1.11,67.08128541650001
29000,23.045447108500003,-0.8328225377399999,0.0,0.0,1.48,65.01356201749999
29100,23.0645149746,-0.8434808556900001,0.0,0.0,1.64,64.5279374143
29200,22.9541667129,-0.7872410773,0.0,0.0,1.54,70.1098695833
29300,23.0390908888,-0.8367730572000001,0.0,0.0,1.97,65.6278102182
29400,23.123873042,-0.86025483841,0.0,0.0,1.36,63.0910809271
29500,23.000348338,-0.8029546575000001,0.0,0.0,0.67,66.9127794576
29600,23.052294628,-0.8003013006899999,0.0,0.0,0.32,66.6540331788
29700,23.101208418000002,-0.82189455478,0.0,0.0,0.87,64.9172942812
29800,23.0719596262,-0.78898365263,0.0,0.0,0.49,66.7360919799
29900,23.040592870199998,-0.82494375525,0.0,0.0,0.37,65.0243957169
30000,23.0050876273,-0.79945271735,0.0,0.0,0.81,68.25185758890001
